RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported
23097,SUSPICIOUS CIRCUMSTANCES-SITUATION/PERSON/VEHICLE,201601720,700,PROSPECT AVE,CPD ,2016-04-04T00:00:00.000Z,1056
23098,STALKING,201601721,400,E HIGH ST,CPD ,2016-04-04T00:00:00.000Z,1130
23099,LARCENY-ALL OTHER LARCENY,201601722,1600,MERIDIAN ST,CPD ,2016-04-04T00:00:00.000Z,1425
23100,SUSPICIOUS CIRCUMSTANCES-SITUATION/PERSON/VEHICLE,201601723,100,VILLAGE CT,CPD ,2016-04-04T00:00:00.000Z,1204
23101,LARCENY-THEFT FROM BUILDING,201601726,200,14TH ST,CPD ,2016-04-04T00:00:00.000Z,1205
23102,FRAUD-FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,201601727,300,7 1/2 ST SW,CPD ,2016-04-04T00:00:00.000Z,1402
23103,PROPERTY-FOUND/RECOVERED,201601728,600,E MARKET ST,CPD ,2016-04-04T00:00:00.000Z,1354
23104,PROPERTY-FOUND/RECOVERED,201601729,600,E MARKET ST,CPD ,2016-04-04T00:00:00.000Z,1453
23105,LARCENY-THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,201601731,1300,BELLEVIEW AVE,CPD ,2016-04-04T00:00:00.000Z,1415
23106,VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201601732,1100,GRADY AVE,CPD ,2016-04-04T00:00:00.000Z,1745
23107,BURGLARY/BREAKING AND ENTERING,201601733,400,MONTICELLO RD,CPD ,2016-04-04T00:00:00.000Z,1610
23108,DRUG/NARCOTIC VIOLATION,201601734,2000,HOLIDAY DR,CPD ,2016-04-04T00:00:00.000Z,1832
23109,SUSPICIOUS CIRCUMSTANCES-SITUATION/PERSON/VEHICLE,201601736,100,11TH ST SW,CPD ,2016-04-04T00:00:00.000Z,2234
23110,SUSPICIOUS CIRCUMSTANCES-SITUATION/PERSON/VEHICLE,201601737,800,BELMONT AVE,CPD ,2016-04-05T00:00:00.000Z,0623
23111,SUSPICIOUS CIRCUMSTANCES-SITUATION/PERSON/VEHICLE,201601738,800,W MAIN ST,CPD ,2016-04-05T00:00:00.000Z,1205
23112,LARCENY-THEFT FROM BUILDING,201601739,100,MADISON LN,CPD ,2016-04-05T00:00:00.000Z,1316
23113,ASSIST CITIZEN-MENTAL/TDO/ECO,201601740,1200,CEDARS COURT,CPD ,2016-04-05T00:00:00.000Z,1416
23114,FAMILY OFFENSE-NON-VIOLENT,201601741,0,4TH ST,CPD ,2016-04-05T00:00:00.000Z,1446
23115,ASSIST CITIZEN-MENTAL/TDO/ECO,201601742,1700,KING MOUNTAIN RD,CPD ,2016-04-05T00:00:00.000Z,1530
23116,LARCENY-THEFT FROM BUILDING,201601743,1400,SHORT 18TH ST,CPD ,2016-04-05T00:00:00.000Z,1034
23117,TOWED VEHICLE,201601744,1000,GROVE ST,CPD ,2016-04-05T00:00:00.000Z,1657
23118,LARCENY-THEFT FROM MOTOR VEHICLE,201601745,1000,PRESTON AVE,CPD ,2016-04-05T00:00:00.000Z,1723
23119,VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201601746,800,ALTAVISTA AVE,CPD ,2016-04-05T00:00:00.000Z,1806
23120,FRAUD-FRAUD BY IMPERSONATION,201601747,1400,GRACE ST,CPD ,2016-04-05T00:00:00.000Z,1850
23121,VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201601748,1500,E HIGH ST,CPD ,2016-04-06T00:00:00.000Z,0001
23122,LARCENY-ALL OTHER LARCENY,201601749,200,E MAIN ST,CPD ,2016-04-05T00:00:00.000Z,2100
23123,PROPERTY-FOUND/RECOVERED,201601750,100,E MARKET ST,CPD ,2016-04-05T00:00:00.000Z,2231
23124,LARCENY-ALL OTHER LARCENY,201601751,600,E MARKET ST,CPD ,2016-04-05T00:00:00.000Z,2219
23125,ASSIST CITIZEN-MENTAL/TDO/ECO,201601752,100,E MARKET ST,CPD ,2016-04-05T00:00:00.000Z,2315
23126,TRAFFIC-HIT AND RUN,201601753,1100,MILLMONST ST,CPD ,2016-04-06T00:00:00.000Z,0339
23127,ANONMOUS PERK,201601755,1200,LEE ST,CPD ,2016-04-06T00:00:00.000Z,0522
23128,MISC NON CRIMINAL,201601756,1500,CARLTON AVE,CPD ,2016-04-06T00:00:00.000Z,0619
23129,PROPERTY-FOUND/RECOVERED,201601758,800,E MARKET ST,CPD ,2016-04-06T00:00:00.000Z,1316
23130,DRUG/NARCOTIC VIOLATION,201601760,1100,SEMINOLE TRL,CPD ,2016-04-06T00:00:00.000Z,1600
23131,CRIME PREVENTION INITIATIVE (CPI),201601761,600,E MARKET ST,CPD ,2016-04-06T00:00:00.000Z,1610
23132,CRIME PREVENTION INITIATIVE (CPI),201601762,1300,E JEFFERSON ST,CPD ,2016-04-06T00:00:00.000Z,1600
23133,CRIME PREVENTION INITIATIVE (CPI),201601763,300,E JEFFERSON ST,CPD ,2016-04-06T00:00:00.000Z,1600
23134,CRIME PREVENTION INITIATIVE (CPI),201601764,1300,BRANCHLAND BLVD,CPD ,2016-04-06T00:00:00.000Z,1530
23135,ASSIST AGENCY-BACKUP/ASSISTANCE,201601766,800,MONTROSE AVE,CPD ,2016-04-06T00:00:00.000Z,2039
23136,MISSING PERSON-JUVENILE,201601767,600,E MARKET ST,CPD ,2016-04-06T00:00:00.000Z,2041
23137,PROPERTY-FOUND/RECOVERED,201601768,400,4TH ST NW,CPD ,2016-04-06T00:00:00.000Z,2137
23138,TRAFFIC-HIT AND RUN,201601769,,W MAIN ST,CPD ,2016-04-07T00:00:00.000Z,0035
23139,LARCENY-THEFT FROM MOTOR VEHICLE,201601770,1700,GALLOWAY DR,CPD ,2016-04-07T00:00:00.000Z,0833
23140,MOTOR VEHICLE THEFT/STOLEN AUTO,201601772,1800,FIELD RD,CPD ,2016-04-07T00:00:00.000Z,0727
23141,SUSPICIOUS CIRCUMSTANCES-SITUATION/PERSON/VEHICLE,201601774,1200,WERTLAND ST,CPD ,2016-04-07T00:00:00.000Z,1000
23142,LARCENY-SHOPLIFTING,201601776,1000,MILLMONT ST,CPD ,2016-04-07T00:00:00.000Z,1300
23143,BURGLARY/BREAKING AND ENTERING,201601777,200,9TH ST NW,CPD ,2016-04-07T00:00:00.000Z,1031
23144,LARCENY-SHOPLIFTING,201601778,1000,MILLMONT ST,CPD ,2016-04-07T00:00:00.000Z,1400
23145,TOWED VEHICLE,201601779,700,MADISON AVE,CPD ,2016-04-07T00:00:00.000Z,1237
23146,DRUG/NARCOTIC VIOLATION,201601780,600,E MARKET ST,CPD ,2016-04-07T00:00:00.000Z,1307
23147,TRAFFIC-HIT AND RUN,201601781,2100,IVY RD,CPD ,2016-04-07T00:00:00.000Z,1346
23148,ASSIST CITIZEN-MENTAL/TDO/ECO,201601782,300,CARLTON RD,CPD ,2016-04-07T00:00:00.000Z,1525
23149,TRAFFIC-HIT AND RUN,201601783,1500,GRADY AVE,CPD ,2016-04-07T00:00:00.000Z,1404
23150,FRAUD-FRAUD BY IMPERSONATION,201601784,700,LEVY AVE,CPD ,2016-04-07T00:00:00.000Z,1600
23151,FRAUD-FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,201601786,400,E MAIN ST,CPD ,2016-04-07T00:00:00.000Z,1616
23152,TRAFFIC-HIT AND RUN,201601787,1600,LONG ST,CPD ,2016-04-07T00:00:00.000Z,2208
23153,TOWED VEHICLE,201601789,1100,WERTLAND ST,CPD ,2016-04-07T00:00:00.000Z,1732
23154,LARCENY-THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,201601790,200,AVON ST,CPD ,2016-04-07T00:00:00.000Z,2012
23155,TRAFFIC-HIT AND RUN,201601791,1100,5TH ST SW,CPD ,2016-04-07T00:00:00.000Z,1918
23156,LARCENY-ALL OTHER LARCENY,201601792,200,RIDGE MCINTIRE RD,CPD ,2016-04-07T00:00:00.000Z,2019
23157,TRAFFIC-HIT AND RUN,201601793,2100,BARRACKS RD,CPD ,2016-04-07T00:00:00.000Z,2230
23158,DRUG/NARCOTIC VIOLATION,201601794,1400,RUGBY AVE,CPD ,2016-04-08T00:00:00.000Z,0048
23159,ASSAULT-SIMPLE,201601795,700,E HIGH ST,CPD ,2016-04-08T00:00:00.000Z,0041
23160,DRUG/NARCOTIC VIOLATION,201601796,1100,RUGBY RD,CPD ,2016-04-08T00:00:00.000Z,0620
23161,TRAFFIC-ACCIDENT,201601797,500,9TH ST NW,CPD ,2016-04-08T00:00:00.000Z,0600
23162,ASSAULT-SIMPLE,201601798,500,HARRIS RD,CPD ,2016-04-08T00:00:00.000Z,0735
23163,VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201601799,800,HARDY DR,CPD ,2016-04-08T00:00:00.000Z,0745
23164,LARCENY-THEFT FROM MOTOR VEHICLE,201601800,1000,LINDEN AVE,CPD ,2016-04-08T00:00:00.000Z,0809
23165,LARCENY-ALL OTHER LARCENY,201601801,1700,HYDRAULIC RD,CPD ,2016-04-08T00:00:00.000Z,0810
23166,SUSPICIOUS CIRCUMSTANCES-SITUATION/PERSON/VEHICLE,201601802,1600,GORDON AVE,CPD ,2016-04-08T00:00:00.000Z,0811
23167,LARCENY-THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,201601804,800,ST CLAIR AVE,CPD ,2016-04-08T00:00:00.000Z,0911
23168,ANIMAL-COMPLAINT,201601805,800,CONCORD AVE,CPD ,2016-04-08T00:00:00.000Z,1221
23169,LARCENY-ALL OTHER LARCENY,201601806,1000,ELLIOTT AVE,CPD ,2016-04-08T00:00:00.000Z,1003
23170,TOWED VEHICLE,201601807,1800,JEFFEROSN PARK AVE,CPD ,2016-04-08T00:00:00.000Z,1040
23171,LARCENY-ALL OTHER LARCENY,201601808,100,MEADE AVE,CPD ,2016-04-08T00:00:00.000Z,1007
23172,ASSAULT-SIMPLE,201601809,300,E MAIN ST,CPD ,2016-04-08T00:00:00.000Z,1145
23173,ANIMAL-BITE,201601811,2300,CENTER AVE,CPD ,2016-04-08T00:00:00.000Z,1346
23174,LARCENY-SHOPLIFTING,201601812,500,W MAIN ST,CPD ,2016-04-08T00:00:00.000Z,1320
23175,TRAFFIC-HIT AND RUN,201601813,1100,EMMET ST,CPD ,2016-04-08T00:00:00.000Z,1500
23176,TOWED VEHICLE,201601814,1400,GORDON AVE,CPD ,2016-04-08T00:00:00.000Z,1430
23177,LARCENY - POCKET PICKING,201601815,1100,EMMET ST,CPD ,2016-04-08T00:00:00.000Z,1530
23178,LARCENY-ALL OTHER LARCENY,201601816,0,ELLIEWOOD AVE,CPD ,2016-04-08T00:00:00.000Z,1700
23179,ASSIST CITIZEN-MENTAL/TDO/ECO,201601819,200,FAIRWAY AVE,CPD ,2016-04-08T00:00:00.000Z,1915
23180,TRAFFIC-HIT AND RUN,201601820,2100,JEFFERSON PARK AVE,CPD ,2016-04-08T00:00:00.000Z,2006
23181,TOWED VEHICLE,201601821,400,W MAIN ST,CPD ,2016-04-08T00:00:00.000Z,2156
23182,LARCENY-ALL OTHER LARCENY,201601822,300,250 BYPASS,CPD ,2016-04-08T00:00:00.000Z,2235
23183,TOWED VEHICLE,201601823,700,PROSPECT AVE,CPD ,2016-04-08T00:00:00.000Z,2311
23184,VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201601824,900,W MAIN ST,CPD ,2016-04-08T00:00:00.000Z,0026
23185,TRAFFIC STOPS,201601825,1100,5TH ST SW,CPD ,2016-04-09T00:00:00.000Z,0113
23186,ASSIST CITIZEN-MENTAL/TDO/ECO,201601826,200,W WATER ST,CPD ,2016-04-09T00:00:00.000Z,0230
23187,ASSIST CITIZEN-MENTAL/TDO/ECO,201601827,300,14TH ST NW,CPD ,2016-04-09T00:00:00.000Z,0355
23188,LARCENY-THEFT FROM MOTOR VEHICLE,201601828,600,MONTICELLO AVE,CPD ,2016-04-09T00:00:00.000Z,1256
23189,SUSPICIOUS CIRCUMSTANCES-SITUATION/PERSON/VEHICLE,201601829,2200,STADIUM RD,CPD ,2016-04-09T00:00:00.000Z,1309
23190,LARCENY-SHOPLIFTING,201601830,500,W MAIN ST,CPD ,2016-04-09T00:00:00.000Z,1425
23191,FRAUD-WIRE FRAUD,201601831,1100,EMMET ST N,CPD ,2016-04-09T00:00:00.000Z,1730
23192,LARCENY-THEFT FROM MOTOR VEHICLE,201601832,1300,JOHN ST,CPD ,2016-04-09T00:00:00.000Z,1145
23193,TRAFFIC-HIT AND RUN,201601833,800,LOCUST AVE,CPD ,2016-04-09T00:00:00.000Z,1857
23194,TOWED VEHICLE,201601834,1100,5TH ST SW,CPD ,2016-04-09T00:00:00.000Z,1923
23195,TOWED VEHICLE,201601835,100,THOMAS DR,CPD ,2016-04-09T00:00:00.000Z,2040
23196,PHONE CALLS-THREATENING OR OBSCENE,201601836,2100,MICHIE DR,CPD ,2016-04-10T00:00:00.000Z,0041
23197,LARCENY-SHOPLIFTING,201601837,1900,EMMET ST N,CPD ,2016-04-10T00:00:00.000Z,0055
23198,DISORDERLY CONDUCT,201601838,1500,UNIVERSITY AVE,CPD ,2016-04-10T00:00:00.000Z,0548
23199,SHOTS FIRED/ILLEGAL HUNTING CALL,201601839,900,ROCKCREEK RD,CPD ,2016-04-10T00:00:00.000Z,0607
23200,SUSPICIOUS CIRCUMSTANCES-SITUATION/PERSON/VEHICLE,201601840,1300,W MAIN ST,CPD ,2016-04-10T00:00:00.000Z,0510
23201,RUNAWAY,201601841,2100,MICHIE DR,CPD ,2016-04-10T00:00:00.000Z,0934
23202,ASSIST CITIZEN-MENTAL/TDO/ECO,201601842,100,GREENBRIER TER,CPD ,2016-04-10T00:00:00.000Z,0941
23203,PROPERTY-FOUND/RECOVERED,201601843,800,RIDGE ST,CPD ,2016-04-10T00:00:00.000Z,1352
23204,DISORDERLY CONDUCT,201601844,900,GRADY AVE,CPD ,2016-04-10T00:00:00.000Z,2200
23205,VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201601845,400,GARRETT ST,CPD ,2016-04-10T00:00:00.000Z,2027
23206,BURGLARY/BREAKING AND ENTERING,201601846,500,VALLEY RD,CPD ,2016-04-10T00:00:00.000Z,2303
23207,ASSAULT-INTIMIDATION,201601847,300,E WATER ST,CPD ,2016-04-11T00:00:00.000Z,0330
23208,ASSAULT-SIMPLE,201601848,500,S 1ST ST,CPD ,2016-04-11T00:00:00.000Z,0107
23209,ASSIST CITIZEN-MENTAL/TDO/ECO,201601849,500,E MAIN ST,CPD ,2016-04-11T00:00:00.000Z,0200
23210,ASSIST CITIZEN-MENTAL/TDO/ECO,201601850,400,PATON ST,CPD ,2016-04-11T00:00:00.000Z,0230
23211,PROPERTY-FOUND/RECOVERED,201601851,1500,UNIVERSITY AVE,CPD ,2016-04-11T00:00:00.000Z,0636
23212,DOA,201601852,100,MONTE VISTA AVE,CPD ,2016-04-11T00:00:00.000Z,0850
23213,COMMUNITY RELATIONS INITIATIVE (CRI),201601853,100,E JEFFERSON ST,CPD ,2016-04-11T00:00:00.000Z,0900
23214,TRESPASS ON REAL PROPERTY,201601854,500,1ST ST S,CPD ,2016-04-11T00:00:00.000Z,0930
23215,TOWED VEHICLE,201601856,100,9TH ST SW,CPD ,2016-04-11T00:00:00.000Z,1013
23216,ASSIST CITIZEN-MENTAL/TDO/ECO,201601857,2100,MICHIE DR,CPD ,2016-04-11T13:00:00.000Z,1300
23217,VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201601858,500,1/2 N 1ST ST,CPD ,2016-04-08T00:00:00.000Z,0249
23218,DRUG/NARCOTIC VIOLATION,201601859,1400,MELBOURNE RD,CPD ,2016-04-11T00:00:00.000Z,1403
23219,ASSAULT-INTIMIDATION,201601860,1900,EMMET ST N,CPD ,2016-04-11T00:00:00.000Z,1640
23220,PROPERTY-FOUND/RECOVERED,201601861,400,E MAIN ST,CPD ,2016-04-11T00:00:00.000Z,1500
23221,ASSAULT-INTIMIDATION,201601862,300,250 BYPASS,CPD ,2016-04-12T00:00:00.000Z,1030
23222,ASSIST CITIZEN-MENTAL/TDO/ECO,201601863,1300,RIVERDALE AVE,CPD ,2016-04-11T00:00:00.000Z,2345
23223,ASSIST CITIZEN-MENTAL/TDO/ECO,201601864,800,W MAIN ST,CPD ,2016-04-12T00:00:00.000Z,0100
23224,LARCENY-ALL OTHER LARCENY,201601865,1100,5TH ST SW,CPD ,2016-04-12T00:00:00.000Z,0700
23225,LARCENY-THEFT FROM MOTOR VEHICLE,201601866,1500,E HIGH ST,CPD ,2016-04-12T00:00:00.000Z,0724
23226,LARCENY-THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,201601868,1100,LOCUST AVE,CPD ,2016-04-12T00:00:00.000Z,0807
23227,CRIME PREVENTION INITIATIVE (CPI),201601870,700,E MAIN ST,CPD ,2016-04-12T00:00:00.000Z,1205
23228,LARCENY-ALL OTHER LARCENY,201601871,200,RIDGE ST,CPD ,2016-04-12T00:00:00.000Z,1214
23229,DRUG/NARCOTIC VIOLATION,201601872,600,E MARKET ST,CPD ,2016-04-12T00:00:00.000Z,1209
23230,PROPERTY-FOUND/RECOVERED,201601873,600,E MARKET ST,CPD ,2016-04-12T00:00:00.000Z,1400
23231,TOWED VEHICLE,201601874,700,NALLE ST,CPD ,2016-04-11T00:00:00.000Z,1013
23232,LARCENY-THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,201601875,1300,CARLTON AVE,CPD ,2016-04-12T00:00:00.000Z,1440
23233,TRAFFIC-HIT AND RUN,201601876,1700,HYDRAULIC RD,CPD ,2016-04-12T00:00:00.000Z,1630
23234,PROPERTY-FOUND/RECOVERED,201601877,1100,5TH ST SW,CPD ,2016-04-12T00:00:00.000Z,1200
23235,TRAFFIC-HIT AND RUN,201601878,200,15TH ST NW,CPD ,2016-04-12T00:00:00.000Z,1515
23236,ASSIST CITIZEN MENTAL,201601880,700,DRUID AVE,CPD ,2016-04-12T00:00:00.000Z,1854
23237,PHONE CALLS-THREATENING OR OBSCENE,201601881,100,MIDDLESEX DR,CPD ,2016-04-12T00:00:00.000Z,1726
23238,ASSAULT-SIMPLE,201601882,600,W MAIN ST,CPD ,2016-04-12T00:00:00.000Z,1940
23239,ASSIST CITIZEN-MENTAL/TDO/ECO,201601883,900,S 1ST ST,CPD ,2016-04-12T00:00:00.000Z,2300
23240,VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201601885,700,6TH ST SE,CPD ,2016-04-13T00:00:00.000Z,1030
23241,FIRE ALARM-NO FIRE,201601886,1400,MELBOURNE RD,CPD ,2016-04-13T00:00:00.000Z,1020
23242,TRESPASS ON REAL PROPERTY,201601887,500,W MAIN ST,CPD ,2016-04-13T00:00:00.000Z,1033
23243,FRAUD-FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,201601890,800,CHERRY AVE,CPD ,2016-04-13T00:00:00.000Z,1119
23244,ASSIST CITIZEN-MENTAL/TDO/ECO,201601892,500,PARK ST,CPD ,2016-04-13T00:00:00.000Z,1352
23245,PROPERTY-FOUND/RECOVERED,201601893,100,5TH ST SE,CPD ,2016-04-13T00:00:00.000Z,1430
23246,FRAUD-FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,201601894,900,ROCK CREEK RD,CPD ,2016-04-13T00:00:00.000Z,1518
23247,EMBEZZLEMENT,201601895,1300,LONG ST,CPD ,2016-04-13T00:00:00.000Z,1638
23248,LARCENY-THEFT FROM MOTOR VEHICLE,201601896,700,ORANGEDALE AVE,CPD ,2016-04-13T00:00:00.000Z,1711
23249,SUSPICIOUS CIRCUMSTANCES-SITUATION/PERSON/VEHICLE,201601897,100,LANKFORD AVE,CPD ,2016-04-13T00:00:00.000Z,1830
23250,FRAUD-FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,201601898,800,HARDY DR,CPD ,2016-04-13T00:00:00.000Z,2244
23251,MISSING PERSON-JUVENILE,201601899,1400,MELBOURNE RD,CPD ,2016-04-13T00:00:00.000Z,2112
23252,MISSING PERSON-JUVENILE,201601900,1400,MELBOURNE RD,CPD ,2016-04-13T00:00:00.000Z,2111
23253,DRUG/NARCOTIC VIOLATION,201601901,700,PROSPECT AVE,CPD ,2016-04-14T00:00:00.000Z,0925
23254,ASSIST CITIZEN-MENTAL/TDO/ECO,201601902,500,WATER ST,CPD ,2016-04-14T00:00:00.000Z,0030
23255,DRIVE UNDER THE INFLUENCE,201601903,200,W WATER ST,CPD ,2016-04-14T00:00:00.000Z,0500
23256,ASSIST CITIZEN-MENTAL/TDO/ECO,201601904,900,CHARLTON AVE,CPD ,2016-04-14T00:00:00.000Z,0930
23257,DRUG/NARCOTIC VIOLATION,201601905,300,RIVERSIDE AVENUE,CPD ,2016-04-15T00:00:00.000Z,0930
23258,FRAUD-FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,201601906,1600,KING MOUNTAIN RD,CPD ,2016-04-14T00:00:00.000Z,0930
23259,ASSAULT-SIMPLE,201601907,100,KELSEY CT,CPD ,2016-04-14T00:00:00.000Z,0859
